main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
디자인,포토샵·파일변환,보정·누끼·합성,153,84,5000,7000,10000,62,"인물전문 자연스럽고 퀄리티 있는 사진 보정,합성을 약속 드립니다.",G의작업실,https://kmong.com/gig/185723
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,16,12,60000,250000,300000,59,"10년차 그래픽디자이너, 만족높은 디자인을 만들어 드립니다.",샐러드기념일,https://kmong.com/gig/272250
디자인,캘리그라피·폰트,폰트,71,1,250000,가격 없음,가격 없음,8,윤멤버십STARTER 전종 폰트 1년권을 할인가에 드립니다.,윤디자인그룹,https://kmong.com/gig/264270
디자인,블로그·SNS·썸네일,SNS·썸네일,15,14,500000,가격 없음,가격 없음,72,"트랜디하고 유니크한 모션포스터, 무빙포스터 디자인 해 드립니다.",Studio165,https://kmong.com/gig/187851
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,656,57,99000,330000,600000,161,저비용으로 고퀄리티 솔루션을 제공해 드립니다.,astudiog,https://kmong.com/gig/61338
디자인,제품·3D프린팅,제품 설계·디자인,151,15,5500000,6600000,8800000,81,양산 금형 전문 제품 기구설계 수석 디자이너가 고퀄리티로 작업해 드립니다.,gizmodesign,https://kmong.com/gig/158984
디자인,웹·모바일 디자인,UI·UX디자인,39,31,120000,240000,400000,212,UXUI 브랜드와 사용자를 이해하고 디자인으로 표현해 드립니다.,Egum,https://kmong.com/gig/175686
디자인,로고·브랜딩,브랜딩,203,59,2800000,가격 없음,가격 없음,582,"""소상공인 연매출 3억""디자인, 결과로 입증한 디자인해 드립니다.",BeigeDesign,https://kmong.com/gig/198378
디자인,패키지 디자인,-,203,31,450000,950000,1500000,478,클릭 안하면 후회할텐데..화장품 커피 tea 디자인해 드립니다.,BeigeDesign,https://kmong.com/gig/202870
디자인,공간디자인,CAD도면,371,12,300000,500000,990000,92,대형프로젝트전용 건축설계 및 인테리어까지 전문가가 도움 드립니다.,magichand,https://kmong.com/gig/167177
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,31,3,1100000,3300000,5500000,107,"디자인 전문회사, 퀄리티 높은 편집디자인을 해 드립니다.",grafydesign,https://kmong.com/gig/80160
디자인,PPT·인포그래픽,PPT,31,5,100000,150000,200000,80,해외 공모전 다수 수상한 회사에서 퀄리티 높은 제안서 디자인을 해 드립니다.,grafydesign,https://kmong.com/gig/80161
디자인,패키지 디자인,-,31,0,2000000,3000000,4000000,72,해외 공모전 다수 수상한 회사에서 퀄리티 높은 패키지 디자인을 해 드립니다.,grafydesign,https://kmong.com/gig/202701
