main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
영상·사진·음향,헤어메이크업,-,66,62,120000,320000,480000,209,"뷰티,브랜드,룩북 화보 광고 헤어메이크업 해 드립니다.",정나영,https://kmong.com/gig/278921
영상·사진·음향,성우,-,1210,800,50000,60000,80000,511,"'여자성우' 기분좋은목소리,내레이션 광고 ARS 녹음해 드립니다.",체리성우김자영,https://kmong.com/gig/22335
영상·사진·음향,모델·MC·공연,공연,103,60,170000,300000,390000,98,뮤지컬 배우가 멋지고 아름다운 결혼식 축가를 불러 드립니다.,VumStudio,https://kmong.com/gig/156922
영상·사진·음향,사진촬영,-,105,100,200000,800000,1500000,693,"""매출이 오르는 촬영"" 패션 브랜드 디렉터가 도와 드립니다.",withchainsandgold,https://kmong.com/gig/157535
영상·사진·음향,음악·사운드,-,48,17,770000,1100000,1780000,38,사업과 브랜드의 성공을 위한 맞춤형 로고송을 제작해 드립니다.,디자인뮤직,https://kmong.com/gig/155404
영상·사진·음향,음악·사운드,-,48,26,440000,660000,880000,47,고객의 마음을 움직이는 TV  라디오CM을 제작해 드립니다.,디자인뮤직,https://kmong.com/gig/163274
영상·사진·음향,성우,-,1624,689,50000,80000,120000,236,"""남자성우"" 전문적으로 내레이션 및 광고,게임 녹음해 드립니다.",얀노,https://kmong.com/gig/64488
영상·사진·음향,사진촬영,-,122,67,130000,가격 없음,가격 없음,608,"패션 룩북, 브랜드 화보, 쇼핑몰 촬영해 드립니다.",songsukjung,https://kmong.com/gig/134030
영상·사진·음향,사진촬영,-,15,15,200000,400000,500000,414,실물을 뛰어 넘는 CG 광고 이미지 제작해 드립니다.,surrealside,https://kmong.com/gig/216155
영상·사진·음향,인트로·로고,-,135,66,200000,400000,600000,75,유튜브 인트로 찰떡같이 만들어 드립니다.,조픽쳐,https://kmong.com/gig/264316
영상·사진·음향,영상촬영·편집,-,14,6,1100000,1650000,5500000,145,"스타일리시한 광고, 패션필름, 메이킹영상 제작해 드립니다.",오뉴필름,https://kmong.com/gig/142337
영상·사진·음향,음악·사운드,-,20,8,80000,300000,480000,18,"BGM, 유튜브 음악, 인트로 사운드 제작해 드립니다.",티라노사운드,https://kmong.com/gig/220176
영상·사진·음향,사진촬영,-,323,174,11000,30000,660000,950,"할인가 적용, 제품사진,홍보사진,브랜딩,펀딩 촬영해 드립니다.",스튜디오마들렌,https://kmong.com/gig/218521
영상·사진·음향,유튜브 제작,-,87,24,100000,800000,1200000,360,전문적인 영상제작자의 눈으로 여러분의 컨텐츠를 제작해 드립니다.,RyanTheProducer,https://kmong.com/gig/138565
영상·사진·음향,인트로·로고,-,2192,352,22000,가격 없음,가격 없음,379,"인트로,아웃트로,화면전환 영상 맞춤 제작.샘플 수정해 드립니다.",퍼그디자인,https://kmong.com/gig/134418
영상·사진·음향,온라인 생중계,-,118,67,990000,1650000,2200000,187,"최고 품질로 유튜브, 웨비나, Zoom 중계해 드립니다.",피앤아이라이브,https://kmong.com/gig/123293
영상·사진·음향,애니메이션,-,282,187,110000,440000,660000,533,"모션그래픽, 애니메이션으로 홍보,교육 영상 제작해 드립니다.",ContentsLAB,https://kmong.com/gig/120091
