main,title,period,duration of work,workplace,type,tag,expert,url
전문가,일본지역 투자 전문가,6/12/2020, 1주일 이내,협의/기타,6월 12일 금 14시 50분~17:00 면접위원 실행(섭외면접장소 서울 강남),"일본, 일본투자, 투자, 일본투자전문",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1443
전문가,리턴기업 지원분야 면접관,6/12/2020, 1주일 이내,협의/기타,6월12일 면접실시,"투자유치, 면접관",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1470
경영전략/신사업,건자재회사의 매출 급감 위기를 타개할 수 있는 마케팅전략,6/10/2020, 3개월 이내,협의/기타,협의,"건자재, 주택, 선박, 마케팅전략, 매출증대, 위기대응, 경쟁전략","경영전략/관리, 마케팅전략/브랜딩, 온라인마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1404
전문가,수입 안전보조장치 신사업의 유통진입전략(MRO기업 대상),6/10/2020, 1개월 이내,회사 (서울특별시  중구),협의,"안전장비, 산업안전, 유통, MRO, 소싱, 글로벌, 신시장",제안받으신 전문가님 33명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1413
경영전략/신사업,Series-A 투자유치기업의 IR자료 재무계획 자문,6/10/2020, 1주일 이내,협의/기타,3시간 자문,"ir, 투자, 투자유치, vc, 사업계획, 재무계획, 재무제표","경영전략/관리, 재무/회계/자금, 투자/IPO 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1420
전문가,IR 자료작성 및 발표 자문 ,6/9/2020, 1개월 이내,회사 (서울특별시  구로구),총 3회 자문,"스타트업, ir, 투자유치",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1417
Other,"감염예방법에 따른 살충제,독먹이제,끈끈이 생산제조 자문",6/8/2020, 6개월 이상,협의/기타,협의,"의약외품제조, 끈끈이제조, 살충제, 살균제, 바퀴벌레유인식독제, 의약외품생산",엔지니어링 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1371
엔지니어링,에어샤워(Air Shower) 제품 개발,6/8/2020, 3개월 이내,협의/기타,협의 사항,"제품기획, 제품설계, 에어샤워, 상품기획",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1382
경영전략/신사업,중소기업 ERP 도입타당성 검토 및 ERP 솔루션 자문,6/8/2020, 1개월 이내,회사 (경기도  파주시),2시간 자문,"erp, pi, 이카운트, 영림원, 생산관리, 영업관리, 재무관리, bom","경영혁신/PI, 생산/제조, PM 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1387
전문가,임플란트 해외영업망 구축 및 활성화,6/8/2020, 1개월 이내,협의/기타,협의 후 결정,"영업, 해외영업, 임플란트, 의료기기, 해외딜러",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1389
전문가,임플란트 중견사 연구개발 국가과제 신청자문,6/8/2020, 3개월 이내,협의/기타,"월2회 3시간씩 사무실방문+수시 전화, 메일상담","의료연구과제, 국가과제신청, 국책과제, 치과",제안받으신 전문가님 45명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1400
인사/총무,비철금속 자재 무역회사의 영업리더 코칭(1Day) 1,6/4/2020, 3개월 이내,회사 (경기도  성남시),1일 3시간 강의,"무역, 영업, b2b, 직무역량, 성과관리, 리더십, 코칭","B2B영업, 교육 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1363
전문가,상업용 부동산 정보서비스 개발을 위한 자문,6/3/2020, 1주일 이내,회사 (서울특별시  영등포구),사내 1일 자문,"부동산, 자문, 신사업, it, 정보서비스",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1403
마케팅,신제품 개발,6/2/2020, 3개월 이내,협의/기타,주 2일 근무,"md, 론칭, 상품기획, 신제품, 이커머스, 건기식, 생활용품, 애견, 미용용품, 건강기능식품","상품기획, 마케팅전략/브랜딩, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1321
전문가,각종 의료기기용 스테인레스 강관 판매망 확대자문,6/1/2020, 3개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","스테인레스튜브, 의료장비, 주사기바늘, 스탠스, 강관, 의료기기",제안받으신 전문가님 50명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1357
