main,title,period,duration of work,workplace,type,tag,expert,url
영업/구매/유통,신규 베이커리 사업총괄(정규직 채용) : 전략/기획 및 운영 전문가 ,3/7/2022, 6개월 이상,회사 (서울특별시  종로구),정규직 채용(F&B 요식업 사업총괄),"f&b, 외식스타트업, 신규사업기획, 기획운영, 베이커리카페, 식음료, 대형카페, 제빵, 바리스타, 커피베이커리","물류/유통, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6890
엔지니어링,폐패각 이용 탄산칼슘 및 산화칼슘 제조 기술자문 및 사업타당성 자문 전문가 모집,3/4/2022, 1개월 이내,협의/기타,현장실사(1일) + 재택근무(2일),"패각, 기술자문, 신사업타당성조사, 친환경제품개발, 석회석, 해양폐기물, 시멘트, 폐패각, 굴폐각, 기술영업","연구개발/설계, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6958
재무/투자,투자유치를 위한 IR자료 작성 및 투자유치 자문,3/4/2022, 1개월 이내,협의/기타,매주: 1회 온사이트(5시간) + 재택근무(20시간),"ir, ir자료작성, 투자유치, 골프웨어, ipo, m&a, 자금조달",재무/투자 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4504
전문가,[지원불가] 탤런트뱅크에서 테스트 진행 중입니다. ,3/3/2022, 1주일 이내,협의/기타,협의 (주2일) ,테스트,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6976
Other,커피숍 프랜차이즈 사업기획 자문,3/2/2022, 3개월 이내,협의/기타,협의하여 결정,"프랜차이즈, 커피프랜차이즈, 사업성검토및사업계획, 신사업자문",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6736
IT,종합쇼핑몰(구매플랫폼) 신규 구축 전문가 모집,3/1/2022, 6개월 이내,협의/기타,협의 후 진행,"통합플랫폼, 사업기획&경영전략, 시스템엔지니어, gui, 빅데이터플랫폼, pm, it서비스기획컨설팅","PM, 서비스기획, 서버개발/앱개발, GUI (UI/UX), 빅데이터/AI 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6726
Other,"화장품 브랜드 온라인전략, 온라인 마케팅 전문가 모집 건",3/1/2022, 3개월 이내,협의/기타,주1회 방문 미팅 및 재택 근무,"화장품, 온라인마케팅, 온라인쇼핑몰, 온라인, SNS마케팅, 온라인md, 온라인광고, 온라인광고마케팅, 브랜드전략",온라인마케팅 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4452
마케팅,코스피상장 건축자재(석재) 기업의 디지털마케팅팀 팀장채용,3/1/2022, 6개월 이상,회사 (서울특별시  강동구),"정규직, 상근업무","건축자재, 석재, 디지털마케팅, 홍보, d2c, 쇼핑몰, 상품디자인","마케팅전략/브랜딩, 온라인마케팅, 홍보/PR 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6763
영업/구매/유통,음료제품 생산 기업 오프라인 영업 총괄 채용  ,3/1/2022, 6개월 이상,협의/기타,주1-2회 출근 및 재택 근무,"국내유통영업, 국내영업, 영업전략수립, 유통채널, 유통매장관리, 해외유통망구축, 영업채널, b2b영업채널, 영업지원, 유통",국내유통영업외 9개태그,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6794
경영전략/신사업,반려동물용품 :  신사업 기획/상품기획 및 판로 개척 전문가 모집,3/1/2022, 3개월 이내,협의/기타,협의 후 진행,"반려동물산업, 애견용품, 애묘용품, 신제품신사업발굴, 마케팅기획, 상품기획및개발, 브랜딩전략수립, 해외시장개척, 유통전략","경영전략/관리, 신규사업/BD, B2C영업, 물류/유통, 연구개발/설계 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4506
재무/투자,"스타트업 투자(직접, 증자 등) 전반 자문",3/1/2022, 3개월 이내,협의/기타,협의,"투자자문, 엑셀레이팅, 스타트업",투자/IPO 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6821
Other,SW개발 기업의 프로젝트 관리 업무진단 및 개선,3/1/2022, 1개월 이내,협의/기타,협의 (경기도 화성시),"sw개발, 홈페이지개발, 웹에이전시, 프로젝트관리, 개발관리방법론",PM 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6838
Other,온라인 에듀테크 기업의 테크 리크루터 (IT분야),3/1/2022, 3개월 이내,회사 (서울특별시  구로구),"주 2일 근무(월, 수 예상), 협의","온라인교육, 에듀테크, 교육사업, 플랫폼, AWS, 프론트엔드, 백엔드, RDBMS, 앱개발",IT 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6840
IT,산업현장 IoT 솔루션 기업의 SW개발 총괄 CTO 채용,3/1/2022, 6개월 이상,회사 (서울특별시  서초구),상근. 주5일 Full time근무 (서울시 서초구 근무 또는 부산시 수영구 근무 가능),"cto, sw개발, IT솔루션, iot, b2b플랫폼, 아키텍처, 개발총괄","PM, 서비스기획, 서버개발/앱개발, 빅데이터/AI 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6843
경영전략/신사업,블록체인 금융기술 기업의 CEO(또는 COO) 채용 건,3/1/2022, 6개월 이상,회사 (서울특별시  중구),상근 근무,"블록체인, it, ceo, 경영, coo","경영전략/관리, PM, 빅데이터/AI, 신규사업/BD, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6844
Other,블록체인 & NFT 플랫폼 프로젝트 총괄 CTO 모집 (채용),3/1/2022, 6개월 이상,회사 (서울특별시  성동구),상근 (주 5일 근무),"블록체인, 스마트컨트랙트, cto, 클레이튼, 솔리디티, klaytn, nft, defi, dex","IT, 엔지니어링 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6846
영업/구매/유통,네일 제품 해외 영업(마케팅) 운영 전문가 채용 건,3/1/2022, 3개월 이내,협의/기타,협의 후 결정,"네일, 화장품, 수출, 미용, 미용용품, 해외영업, 해외마케팅",해외영업/무역 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6853
재무/투자,이커머스기업의 CFO출신 경영관리책임자(COO) 채용,3/1/2022, 6개월 이상,회사 (서울특별시  서초구),정규직. 상근. Full-time ,"이커머스, 쇼핑몰, cfo, coo, 투자유치, ipo, 경영전략, 인사관리, 전략수립, 오픈마켓","재무/회계/자금, 투자/IPO 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6877
인사/총무,블록체인 금융기술 기업의 인사관리 전문가 모집 건 ,3/1/2022, 1개월 이내,회사 (서울특별시  강남구),협의 후 결정 ,"인사운용, 경영관리, 인사, 인사관리, 인사평가, 보상체계",인사 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6887
경영전략/신사업,리싸이클링 산업: 신사업 발굴 및 개척 전문가,2/28/2022, 1개월 이내,협의/기타,협의 후 진행,"리싸이클링, 재활용, 신사업개발, 신사업자문, 컨설팅, 신재생에너지, 친환경제품개발, 폐자재, 2차전지, ESS","경영전략/관리, 신규사업/BD, 상품기획, 연구개발/설계 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4505
인사/총무,인사 임원 채용 건,2/28/2022, 6개월 이상,회사 (경기도  고양시 일산동구),상근 근무,"인사, 총무, 임원, 인사관리, 인사조직, 인사제도","인사, 총무, 교육, 노무, 경영전략/관리 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6832
마케팅,"베이비서비스 국내 영업,제휴 전문가 모집 건",2/28/2022, 6개월 이내,협의/기타,협의 후 결정,"영업, 병원, 산부인과, 산후조리원, 유아, 제휴, 병원마케팅","B2B영업, 마케팅전략/브랜딩 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6833
엔지니어링,연구직(정규채용) : 3D 프린팅 또는 재료(세라믹) 공학 전공 ,2/28/2022, 6개월 이상,회사 (대전광역시 기타),정규직 채용,"3d프린팅, 세라믹, 연구개발, r&d, 인공뼈, 인공치아, 재료공학, 화학, 고분자소재, 소재가공","연구개발/설계, 생산/제조, 품질/안전 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6891
엔지니어링," 품질보증(소재/재료분야), 정규직 채용 :  KGMP, CE, 해외심사, 품질시스템",2/25/2022, 6개월 이상,회사 (인천광역시 기타),정규직 채용,"품질보증, 품질관리, gmp인증, CE, qc, qa, 품질, 해외, 소재및부품, 재료","연구개발/설계, 품질/안전, 생산/제조 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6865
경영전략/신사업,헤어 뷰티 관련 프랜차이즈 사업 기획 전문가 모집 건,2/24/2022, 6개월 이내,협의/기타,주5회 (방문 및 재택근무),"화장품, 프랜차이즈, 미용, 헤어제품, 헤어케어, 헤어샵, 프랜차이즈창업, 프랜차이즈사업","신규사업/BD, B2B영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4453
전문가,[지원불가] 탤런트뱅크에서 테스트 진행 중입니다. ,2/22/2022, 1주일 이내,회사 (서울특별시  구로구),[지원불가] 탤런트뱅크에서 테스트 진행 중입니다. ,테스트,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6936
경영전략/신사업,경영 전반자문 전문가,2/22/2022, 3개월 이내,협의/기타,협의,"경영컨설팅, 기업경영코칭, 경영전략","경영전략/관리, 신규사업/BD, 경영혁신/PI, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4488
영업/구매/유통,"해외영업 정규직 채용 : 선박엔진에 사용되는 부품류, 산업설비 부품(금속류), 기타 부품",2/22/2022, 6개월 이상,회사 (울산광역시 기타),정규직 채용,"해외영업, 시장개척, 부품영업, 해외시장개척, 해외시장","해외영업/무역, B2B영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6854
Other,폐어망 전처리 플랜트 설치 및 운영 프로젝트 자문 전문가,2/21/2022, 6개월 이내,협의/기타,회사(부산본사 12회) + 자택(84시간) : 2/21 ~ 6/30,"플랜트설계, EPC, 환경플랜트, 공장건축, 시운전, 설계, 시공, 컨설팅, 산업플랜트",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6790
엔지니어링,산업용 자동화 기계설계 전문가,2/21/2022, 3개월 이내,회사 (인천광역시  서구),최소 주 2~3회 풀 타임 (협의가능),"설계관리, CAD, 용접공정의스마트화, 산업기계설계, 3d, 자동화기계설계, 자동화기계설계개발제작",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6806
엔지니어링,패키징아이템 연구개발/사업개발 ,2/21/2022, 3개월 이내,회사 (경기도  남양주시),방문미팅 및 재택 (협의 가능),패키징,"2명의 전문가님, 연구개발/설계, B2B영업, B2C영업, 해외영업/무역, 제품/공간디자인 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6816
엔지니어링,"연구개발 정규직채용 : 제품 연구개발 및 개선, 인증취득 등",2/21/2022, 6개월 이상,회사 (인천광역시 기타),정규직 채용,"고분자소재, 화학공학, 재료공학, 덴탈, 화학, r&d, 제품연구개발, 치과의료기기, 소재가공, 재료","연구개발/설계, 생산/제조, 품질/안전 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6864
Other,사진을 통한 음식 종류 및 중량을 식별할 수 있는 AI 딥러닝 아키텍쳐 개발 자문,2/17/2022, 1개월 이내,회사 (서울특별시),2시간 대면 자문,"딥러닝, ai, 빅데이터, ai기반고객분석, architect",딥러닝외 4개태그,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6861
엔지니어링,공장장 : 금속 구조물 생산관리(S&OP포함) 전반 자문 전문가,2/16/2022, 6개월 이상,회사 (경기도  양주시),6개월 자문(전일근무),"공장장, 생산관리, 제조, 공정, s&op, sop, 공정혁신",생산/제조 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6742
인사/총무,"인사평가, 보상체계 등 인사제도 구축 전문가 모집 ",2/15/2022, 3개월 이내,협의/기타,주1회 (방문 및 재택근무),"인사, 성과관리, 인사관리, 인사제도, 인사평가, 인사조직, 보상체계",인사 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4451
영업/구매/유통,신규 배달앱 서비스 기업의 영업/마케팅/프랜차이즈 전문가,2/14/2022, 3개월 이내,협의/기타,협의,"배달, 쿠팡이츠, 배달통, 요기요, 프랜차이즈, 치킨, 식음료, 영업조직, 요식업, 배달앱","영업/구매/유통, 온라인마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6717
인사/총무,이차전지 생산관련 기업의 인사팀장 채용,2/14/2022, 6개월 이상,회사 (충청북도  청주시 청원구),"정규직, 상근","이차전지, 정밀금형, 정밀기계부품, 자동화장비, 부품소재, 인사, 인사제도, 성과관리, 급여체계, hrd",인사 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6721
경영전략/신사업,"오피스 빌딩 임대 사업(영업,마케팅)전문가 모집 건",2/14/2022, 6개월 이상,회사 (경기도  안양시 만안구),상담 후 결정,"건물임대운영, 건물임대마케팅, 임대, 부동산, 임대사업, 건물임대","신규사업/BD, 마케팅전략/브랜딩, B2B영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6737
엔지니어링,중소기업 IoT 시제품 설계 및 생산 전과정 자문 ,2/14/2022, 6개월 이내,자택,"주1회 구글미팅, 필요시 대면 또는 구글미팅, 그외에 재택 근무","iot, 제조, mcu, 제품생산, mcu설계, iot컨설팅, 스마트시티, iot플랫폼, 제품품질관리, 제조현장오퍼레이터","11명의 전문가님, IT, 연구개발/설계 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4444
디자인/패션,"전문 디자이너 모집 : 기업명함 디자인, 기업명패(파티션용) 디자인",2/14/2022, 1개월 이내,협의/기타,협의,"명함디자인, 기업명패, 디자인, 기업홍보물, 아이덴티티디자인, 로고디자인","제품/공간디자인, 제안서/편집디자인 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6761
전문가,업무 전반에 대한 협업시스템 구축 운영 (그룹웨어 및 works 활용 구축),2/14/2022, 3개월 이내,회사 (서울특별시  구로구),협의 가능,"그룹웨어, works, 자산관리, 매입매출관리, 공사프로젝트관리, 고객유지관리, 설계영업관리, 자재입출고관리, 발주관리","4명의 전문가님, IT 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6784
엔지니어링,완성차 업계의 품질 전문가,2/14/2022, 6개월 이내,회사 (서울특별시  마포구),협의가능,"완성차, 자동차, 품질, iatf, imds, 자동차부품, CAD, 품질관리, 생산품질","품질/안전, 생산/제조 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6808
경영전략/신사업,파스타 피자 프랜차이즈 사업 기획/실행 전문가 모집,2/14/2022, 6개월 이내,협의/기타,협의,"가맹점, 파스타, 피자, 프랜차이즈, 요식업, 외식사업, 외식업, 프랜차이즈매장","신규사업/BD, B2C영업, 마케팅전략/브랜딩 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6837
경영전략/신사업,경영진단을 통한 경영효율화 방안 수립,2/14/2022, 3개월 이내,협의/기타,매주: 1회 온사이트(4시간) + 재택근무(16시간),"경영진단, 신사업기획, 경영전략, 비용절감, 수익성분석, m&a, 투자, cfo, 재무분석","경영전략/신사업, 재무/투자 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4278
인사/총무,스타트업 인사제도 수립,2/10/2022, 3개월 이내,협의/기타,"회사 + 자택 병행, 필요시 협의","성과제도, 급여체제, 인사평가절차, 인사제도, 인사정책, 조직문화개발, 인사조직컨설팅, hr","인사, 총무, 교육 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6751
인사/총무,텔레마케팅 시스템 임금체계 자문 전문가,2/9/2022, 3개월 이내,협의/기타,"총 5주 자문:  온 사이트 근무/주 1회, 재택근무/주 3회, 필요시 협의/조정","영업사원, 급여설계, TM, tm영업, hr, 보험영업, 텔레마케팅영업&임금, 재무회계, 보상, 수수료","총무, 서비스기획, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6170
Other,"*. 리서치 전문가 : 마케팅, 브랜딩이 아닌, 디테일한 사업분석과 시장조사 ",2/9/2022, 3개월 이내,협의/기타,협의,"경영전략수립, 컨설팅, 사업계획서, 전략, 스타트업, 사업운영, 리서치, 시장조사, 시장분석",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4507
Other,건강기능식품 브랜드 네이밍,2/8/2022, 1개월 이내,협의/기타,재택근무 (협의가능),"브랜딩, naming, 네이밍전략, 네이밍, 브랜드상표컨설팅",브랜딩외 4개태그,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6759
영업/구매/유통,"자동차 설계, 금형, 부품 영업전문가",2/7/2022, 6개월 이상,회사 (인천광역시  연수구),전일제 근무,"자동차설계영업, 자동차금형영업, 자동차부품영업, 종합상사, 자동차, 영업, 해외시장개척, 설계, 금형, 자동차부품","B2B영업, 해외영업/무역 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6753
전문가,온라인쇼핑몰 사업 (온라인 플랫폼 사업) 컨설팅/자문_04,2/7/2022, 1주일 이내,회사 (서울특별시  강남구),회사 방문 대면 ,온라인쇼핑몰구축,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6793
영업/구매/유통,곡물 수입산지 발굴 및 국내유통 자문 (2시간),2/7/2022, 1주일 이내,회사 (서울특별시  강남구),시간제 1회 자문 (약 2시간)   ,"곡물, 수입, 산지개발, 영업","2명의 전문가님, 해외영업/무역, B2B영업, 구매, 물류/유통 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4503
전문가,온라인쇼핑몰 사업 (온라인 플랫폼 사업) 컨설팅/자문,2/7/2022, 1주일 이내,협의/기타,회사 방문 대면 ,"온라인쇼핑몰구축, 온라인쇼핑몰운영, 이커머스전략, 이커머스운영, 온라인플랫폼, 온라인사업총괄, 웹서비스기획, 온라인마케팅, 이커머스, SNS마케팅","15명의 전문가님,온라인쇼핑몰구축외 9개태그",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4513
Other,신선식품 온라인(마켓컬리) 입점 추진 전문가 모집 건,2/3/2022, 1개월 이내,협의/기타,협의 후 결정,"온라인쇼핑몰, 온라인md, 온라인, 온라인영업, 온라인유통, 온라인쇼핑, 온라인상품기획, 온라인마케팅, 쇼핑몰, 마켓컬리",B2C영업 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6744
인사/총무,"온라인 교육사업 운영 교강사 (애완동물관리(생명산업), 심리학 전공자)",2/1/2022, 6개월 이상,자택,"재택근무, 주 1회 운영교강사 시스템 접속 필","애완동물관리, 심리학, 생명산업, 온라인교육, 운영강사, 국가평생교육진흥원, 운영교강사, 교육, 강사","인사, Other 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4358
Other,사진 유사도 측정을 위한 이미지 인식 및 딥러닝 성능개선 및 자문,2/1/2022, 3개월 이내,협의/기타,"협의하여 결정 (월 1-2회 자문 희망, 서울시 강북구)","딥러닝, opencv, detectron2, 기능성화페, 사진유사도, 성능개선",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4415
Other,자동차 프레스 금형 전문가,2/1/2022, 6개월 이상,회사 (인천광역시  연수구),전일제 근무,"자동차, 금형, 프레스금형, buyoff, trial, 금형개발, 금형견적, 프레스금형트러블, 자동차금형, 자동차부품",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=6719
Other,건강검진센터 확장 및 추진 계획 수립,2/1/2022, 6개월 이내,협의/기타,협의하여 결정,"경영기획, 신사업기획, 신사업전략, 사업계획서, 헬스케어, 건강검진병원, 네트워크병원",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4463
엔지니어링,"SW 개발 정규채용 : ITS프로그램, 스마트영상분석솔루션 분야",1/28/2022, 6개월 이상,회사 (경기도  파주시),정규직 채용,"its, 스마트영상솔루션, 프로그래밍, sw개발, 엔지니어링, ai, 스마트시티, 빅데이터, 코딩, IT솔루션","연구개발/설계, 시스템엔지니어, 빅데이터/AI, 서버개발/앱개발, 서비스기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6425
경영전략/신사업,ITS 분야의 제안서입찰을 주도할 영업 정규직 채용,1/28/2022, 6개월 이상,회사 (경기도  파주시),정규직 채용,"its, 제안서, 정부과제, 정부지원사업, it서비스기획컨설팅, 영업기획, 정부기관, 신사업기획, 마케팅전략","신규사업/BD, 서비스기획, 정부지원사업, 마케팅전략/브랜딩 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=6426
Other,반도체 식각장비 Casing(frame)장비 사업자문 전문가 모집,1/27/2022, 3개월 이내,협의/기타,협의,"식각장비, 반도체장비, 식각작업, 판금성형, 프레임판금, 엔지니어링, 로봇엔지니어링, 에칭, 개발설계, 코칭",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4497
영업/구매/유통,전통주 막걸리 제품 편의점 입점 프로젝트,1/25/2022, 3개월 이내,협의/기타,재택근무 (협의가능),"주류유통, 주류영업, 유통채널, 영업채널개척, 브랜드입점, 판매채널구축, 유통채널확대, B2B영업, b2c영업, 영업",주류유통외 9개태그,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4480
재무/투자,종합세탁서비스기업의 재무팀 팀장 채용(정규직),1/24/2022, 6개월 이상,회사 (서울특별시  송파구),"정규직, 상근","세탁서비스, 재무, 회계, 정산, 결산, 세무, 회계감사, 벨류에이션, 투자유치, 프랜차이즈",재무/투자 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4401
엔지니어링,중소기업 시간입력 프로그램 (타임시트) 개발,1/24/2022, 1개월 이내,협의/기타,재택근무(주 1~2회 회사 방문),"시간입력프로그램, 타임시트, 근태프로그램, 프로젝트관리프로그램, 통합프로그램, 정보시스템, 생산관리시스템, 원가관리시스템, 응용프로그램","서버개발/앱개발, 시스템엔지니어, 서비스기획, PM 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4458
영업/구매/유통,"신개발 건강기능식품 북미, 유럽 수출사업화",1/24/2022, 6개월 이상,협의/기타,협의 ,"건강기능식품, 국제무역, 해외진출사업화, 신사업개척, 수출, 시장개척, 건강식품, 식품원료","해외영업/무역, 마케팅전략/브랜딩, B2B영업, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4464
영업/구매/유통,"물류 기획, 물류 관리 전문가 모집 건  ",1/24/2022, 6개월 이내,협의/기타,물류센터 및 재택근무,"물류, 물류관리, 물류기획, 물류인원, 3pl",물류/유통 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4482
영업/구매/유통,"중국 하이난 수출 계약(화장품, 의류등)",1/24/2022, 3개월 이내,협의/기타,협의,"중국, 수출, 하이난, 화장품, 의류, 국내브랜드, 해외브랜드, 면세품","해외영업/무역, B2B영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4484
Other,IT 솔루션 구축 : 정품인증/정품유통 ,1/21/2022, 3개월 이내,자택,"자택 근무(주 1회, 2시간, 총 4회(8시간)/월","정품인증, 브랜드마케팅, 개발pm, 솔루션개발, it연구개발, 서비스플랫폼구축기획, it컨설팅, uxui기획, 앱&웹, rfid",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4374
재무/투자,"미국 현지기업 M&A, 현지에서 투자유치 등 전반적인 재무업무를 진행 할 미국 재무 전문가",1/19/2022, 6개월 이상,협의/기타,협의,"해외금융, 미국사업진출, 재무, 투자유치, m&a","투자/IPO, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4430
Other,"신상품 기획/개발, 시장개척(영업, 마케팅) : 바이오(분자진단시약/진단키트 등)분야",1/18/2022, 6개월 이내,회사 (경기도  용인시 기흥구),"매주 1회(2시간), 총 4회(8시간) 단기자문","분자진단, 바이오해외영업, 영업, 마케팅, 신사업, 상품기획및개발, 바이오사업전략, 바이오헬스, 생명과학, 의료기기",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4375
엔지니어링,전기추진 선박개발 설계(생산) PM 전문가 모집,1/17/2022, 6개월 이상,협의/기타,재택 및 1~2회/주 출근 또는 화상회의 (협의 가능),"pm, 선박설계, 조선",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4356
엔지니어링,와이어하네스 설계 컨설팅,1/17/2022, 6개월 이상,회사 (충청남도  천안시 서북구),주 5일 풀타임 ,"자동차, 와이어하네스, 설계, 컨설팅, 모듈화, 표준화, 전장설계, 전장모듈, 전장개발",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4378
엔지니어링,정밀 기계 가공 사업 전문가 모집 건 ,1/17/2022, 6개월 이내,협의/기타,협의 후 결정,"정밀기계가공사업, 기계, 정밀기계, 기계설비, 설계, 제조, 정밀기기","연구개발/설계, 생산/제조 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4381
영업/구매/유통,종이 패키징 사업개발 전문가 모집,1/17/2022, 3개월 이내,협의/기타,방문미팅 및 재택 (협의가능),"패키징, 사업개발, 포장, 제품포장, 포장재, 수송포장, 완충포장, 포장물류","4명의 전문가님, B2B영업, B2C영업, 해외영업/무역, 구매, 물류/유통 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4409
영업/구매/유통,인쇄회로기판(PCB) 제조기업 임원대상 영어 전문강사,1/17/2022, 3개월 이내,회사 (경기도  안산시),"주2회 방문, 1시간30분/1회","비즈니스, 영어, 영어강사, 방문교육, 비지니스영어, 개인교습, 영어학원","Other, 해외영업/무역, 마케팅전략/브랜딩 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4424
경영전략/신사업,해외 명태(연육)사업 전문가 모집,1/17/2022, 3개월 이내,회사 (서울특별시  강남구),주 1회 ,"신규사업경험, 명태, 연육, 러시아, 투자, 러시아투자, 해외식품공장, 식품영업, 식품유통","신규사업/BD, B2B영업, 해외영업/무역, 물류/유통 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4425
경영전략/신사업,해외 계육사업 전문가 모집,1/17/2022, 3개월 이내,회사 (서울특별시  강남구), 주 1회,"계육, 닭고기, 신규사업, 도계장, 동남아시아, 베트남닭고기신규사업, 베트남도계, 베트남도계가공투자, 닭고기신규사업, 육가공식품","신규사업/BD, M&A/PMI, 해외영업/무역, 물류/유통, B2B영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4426
엔지니어링,AI개발 신사업 추진관련 자문 (3시간),1/17/2022, 1주일 이내,협의/기타,재택 및 화상회의 (정기적인 자문시) ,"ai, 컴퓨터비전, opencv, 빅데이터, 팀빌딩, ai컨설팅, 인공지능","IT, 연구개발/설계 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4445
마케팅,"부동산경매 그룹스터디 브랜딩, 마케팅 전문가",1/17/2022, 3개월 이내,자택,재택근무 및 SNS 수시 소통 ( 협의가능),"브랜딩, 마케팅, 광고, 슬로건, 홈페이지구축, 기업스토리, 온라인광고마케팅","마케팅전략/브랜딩, 광고/영상디자인, 온라인마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=4346
Other,경영/영업 관리 전문가 모집 건  ,1/14/2022, 6개월 이내,회사 (서울특별시  서초구),주2회 근무,"영업, 온라인영업, 온라인md, 경영",B2C영업 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=4402
