expert,skills
semiyun**,M&A/PMI
semiyun**,경영전략/관리
semiyun**,재무/회계/자금
semiyun**,인사
hans**,제안서/편집디자인
hans**,광고/영상디자인
hans**,홍보/PR
hans**,마케팅전략/브랜딩
seieun**,제품/공간디자인
seieun**,마케팅전략/브랜딩
seieun**,신규사업/BD
syo**,연구개발/설계
evergoingwell77**,재무/회계/자금
evergoingwell77**,시장조사/데이터분석
ktkim12**,신규사업/BD
ktkim12**,M&A/PMI
ktkim12**,생산/제조
ktkim12**,공장신축
ktkim12**,경영전략/관리
YSPETERK**,인사
ynoh19**,경영전략/관리
ynoh19**,연구개발/설계
ynoh19**,PM
mondaybre**,B2C영업
mondaybre**,구매
mondaybre**,경영혁신/PI
mondaybre**,M&A/PMI
mondaybre**,생산/제조
axi**,신규사업/BD
axi**,연구개발/설계
axi**,경영전략/관리
axi**,물류/유통
axi**,구매
seosk19**,품질/안전
seosk19**,생산/제조
seosk19**,공장신축
seosk19**,연구개발/설계
hawaii**,해외영업/무역
hawaii**,신규사업/BD
bluevitami**,경영전략/관리
bluevitami**,마케팅전략/브랜딩
bluevitami**,B2C영업
bluevitami**,교육
bluevitami**,CS
timothy**,제품/공간디자인
stmly**,경영전략/관리
stmly**,경영혁신/PI
stmly**,인사
stmly**,재무/회계/자금
stmly**,서비스기획
ychou**,생산/제조
ychou**,연구개발/설계
ychou**,품질/안전
ychou**,CS
ychou**,경영전략/관리
knjoo03**,투자/IPO
knjoo03**,경영혁신/PI
knjoo03**,경영전략/관리
inoh**,신규사업/BD
inoh**,경영전략/관리
inoh**,해외영업/무역
inoh**,M&A/PMI
inoh**,인사
moo**,Other
boancso20**,경영혁신/PI
boancso20**,경영전략/관리
boancso20**,신규사업/BD
boancso20**,PM
boancso20**,서비스기획
adam**,경영전략/관리
adam**,홍보/PR
adam**,인사
adam**,재무/회계/자금
sbs7**,재무/투자
sbs7**,경영전략/관리
sbs7**,상품기획
sbs7**,정부지원사업
hyunie**,제품/공간디자인
hyunie**,상품기획
hyunie**,마케팅전략/브랜딩
ayersroc**,신규사업/BD
ayersroc**,B2C영업
ayersroc**,해외영업/무역
ayersroc**,상품기획
kjs100**,홍보/PR
kjs100**,신규사업/BD
kjs100**,정부지원사업
kjs100**,연구개발/설계
kjs100**,B2B영업
Essere07**,마케팅전략/브랜딩
Essere07**,홍보/PR
Essere07**,상품기획
Essere07**,시장조사/데이터분석
Lucas**,경영혁신/PI
Lucas**,물류/유통
Lucas**,마케팅전략/브랜딩
Lucas**,온라인마케팅
