expert,skills
stevendwl**,해외영업/무역
stevendwl**,연구개발/설계
stevendwl**,경영혁신/PI
stevendwl**,신규사업/BD
bravoyoo**,경영전략/신사업
bravoyoo**,엔지니어링
bravoyoo**,Other
clear2**,엔지니어링
ottoogi20**,인사/총무
ottoogi20**,Other
bkeverla**,경영전략/신사업
bkeverla**,마케팅
bkeverla**,영업/구매/유통
js2l**,영업/구매/유통
js2l**,마케팅
js2l**,경영전략/신사업
okeun20**,엔지니어링
okeun20**,Other
carlos45**,경영전략/신사업
carlos45**,인사/총무
carlos45**,영업/구매/유통
sunrise58**,IT
kshan**,엔지니어링
nzpr**,영업/구매/유통
nzpr**,마케팅
nzpr**,경영전략/신사업
dichung4**,시스템엔지니어
dichung4**,연구개발/설계
dichung4**,경영전략/관리
dichung4**,신규사업/BD
dichung4**,정부지원사업
jty94**,인사
jty94**,총무
jty94**,교육
jty94**,노무
jty94**,일반법무
ssalman**,온라인마케팅
ssalman**,홍보/PR
ssalman**,마케팅전략/브랜딩
park10**,경영전략/신사업
park10**,법무/대정부
park10**,마케팅
park10**,교육
park10**,서비스기획
netize**,IT
netize**,경영전략/신사업
netize**,영업/구매/유통
netize**,마케팅전략/브랜딩
choi07**,마케팅
choi07**,신규사업/BD
choi07**,경영전략/관리
choi07**,B2B영업
choi07**,B2C영업
miru06**,마케팅
miru06**,경영전략/신사업
miru06**,해외영업/무역
sjkang09**,경영전략/신사업
sjkang09**,영업/구매/유통
sjkang09**,Other
cykim0**,엔지니어링
cykim0**,경영전략/신사업
cykim0**,법무/대정부
scottkim08**,마케팅
scottkim08**,경영전략/신사업
scottkim08**,Other
selp**,재무/투자
selp**,경영전략/신사업
selp**,Other
shopl**,IT
shopl**,경영전략/신사업
shopl**,마케팅
kyvita**,인사/총무
heter**,경영전략/신사업
heter**,마케팅
heter**,해외영업/무역
heter**,B2C영업
1stexpe**,신규사업/BD
1stexpe**,경영혁신/PI
1stexpe**,경영전략/관리
dpmarketi**,경영전략/신사업
dpmarketi**,온라인마케팅
dpmarketi**,홍보/PR
dpmarketi**,마케팅전략/브랜딩
dpmarketi**,인사
subal20**,경영전략/신사업
subal20**,인사
ynch82**,엔지니어링
ynch82**,경영혁신/PI
ynch82**,상품기획
roger**,경영전략/신사업
roger**,인사/총무
roger**,재무/투자
poseec**,Other
poseec**,엔지니어링
petropark**,경영전략/신사업
petropark**,영업/구매/유통
petropark**,마케팅
joonhyu**,경영전략/관리
joonhyu**,경영혁신/PI
joonhyu**,구매
joonhyu**,물류/유통
joonhyu**,생산/제조
kihyun**,PM
parkjw**,인사
parkjw**,교육
parkjw**,노무
parkjw**,경영혁신/PI
parkjw**,경영전략/관리
ckba**,경영전략/관리
ckba**,경영혁신/PI
ckba**,마케팅전략/브랜딩
ckba**,인사
ckba**,정부지원사업
ginja9**,제품/공간디자인
ginja9**,구매
coolkyu**,서버개발/앱개발
coolkyu**,빅데이터/AI
coolkyu**,PM
mwhan1**,PM
mwhan1**,GUI(UI/UX)
mwhan1**,빅데이터/AI
pghg**,Other
augu11**,마케팅전략/브랜딩
augu11**,온라인마케팅
augu11**,홍보/PR
augu11**,상품기획
augu11**,교육
victory**,생산/제조
victory**,공장신축
hskim**,Other
hskim**,해외영업/무역
hskim**,B2B영업
ldoh20**,상품기획
ldoh20**,서비스기획
ldoh20**,신규사업/BD
ldoh20**,경영전략/관리
ldoh20**,마케팅전략/브랜딩
3143k**,경영전략/관리
3143k**,경영혁신/PI
3143k**,신규사업/BD
3143k**,재무/회계/자금
3143k**,원가관리
seongbo**,PM
seongbo**,서비스기획
seongbo**,서버개발/앱개발
freezo**,PM
freezo**,품질/안전
freezo**,경영혁신/PI
freezo**,서비스기획
freezo**,연구개발/설계
didgjd**,경영전략/관리
didgjd**,신규사업/BD
didgjd**,경영혁신/PI
mktgche**,마케팅전략/브랜딩
mktgche**,홍보/PR
mktgche**,상품기획
khsl1**,경영혁신/PI
khsl1**,경영전략/관리
khsl1**,생산/제조
khsl1**,품질/안전
khsl1**,PM
wilsons**,경영혁신/PI
saramdaum**,신규사업/BD
saramdaum**,기술/특허
saramdaum**,물류/유통
saramdaum**,경영전략/관리
saramdaum**,마케팅전략/브랜딩
crcr**,마케팅전략/브랜딩
crcr**,상품기획
crcr**,온라인마케팅
crcr**,신규사업/BD
crcr**,경영전략/관리
jcmlk**,품질/안전
jcmlk**,생산/제조
jcmlk**,연구개발/설계
jcmlk**,경영혁신/PI
pk00**,상품기획
pk00**,마케팅전략/브랜딩
pk00**,신규사업/BD
pk00**,온라인마케팅
pk00**,시장조사/데이터분석
chriskim02**,마케팅전략/브랜딩
chriskim02**,해외영업/무역
chriskim02**,시장조사/데이터분석
chriskim02**,홍보/PR
salesexpe**,B2B영업
salesexpe**,B2C영업
salesexpe**,CS
salesexpe**,교육
salesexpe**,신규사업/BD
bear66**,경영전략/관리
bear66**,상품기획
bear66**,해외영업/무역
bear66**,B2C영업
kool**,마케팅전략/브랜딩
kool**,시장조사/데이터분석
kool**,상품기획
kool**,경영전략/신사업
yglee**,경영혁신/PI
yglee**,생산/제조
yglee**,품질/안전
yglee**,공장신축
narae12**,서비스기획
narae12**,GUI(UI/UX)
narae12**,교육
narae12**,빅데이터/AI
narae12**,신규사업/BD
gilgir**,연구개발/설계
gilgir**,생산/제조
gilgir**,품질/안전
gilgir**,신규사업/BD
raymondju**,마케팅전략/브랜딩
raymondju**,경영전략/관리
khanss**,경영전략/관리
khanss**,인사
khanss**,교육
khanss**,CS
khanss**,마케팅전략/브랜딩
star45**,B2B영업
star45**,B2C영업
star45**,물류/유통
star45**,구매
ackki**,재무/회계/자금
ackki**,원가관리
ackki**,경영전략/관리
ackki**,경영혁신/PI
ackki**,인사
sjbaik33**,경영전략/관리
sjbaik33**,신규사업/BD
sjbaik33**,B2B영업
sjbaik33**,물류/유통
sjbaik33**,마케팅전략/브랜딩
djlee2**,해외영업/무역
djlee2**,생산/제조
dosa69**,인사
dosa69**,PM
dosa69**,교육
dosa69**,경영혁신/PI
dosa69**,총무
johndad**,마케팅전략/브랜딩
johndad**,신규사업/BD
johndad**,상품기획
johndad**,시장조사/데이터분석
medpri**,Other
byungcm**,신규사업/BD
byungcm**,원가관리
byungcm**,경영전략/관리
harj**,공장신축
ala91**,신규사업/BD
ala91**,CS
ala91**,해외영업/무역
ala91**,경영전략/관리
ala91**,재무/회계/자금
yjjung**,구매
hklee2**,신규사업/BD
hklee2**,엔지니어링
hklee2**,빅데이터/AI
smchoi**,신규사업/BD
smchoi**,마케팅전략/브랜딩
smchoi**,서비스기획
jhkim**,투자/IPO
ldj**,Other
SamKa**,경영혁신/PI
SamKa**,PM
SamKa**,서비스기획
SamKa**,빅데이터/AI
woohw0504**,해외영업/무역
brandmoth**,마케팅전략/브랜딩
brandmoth**,홍보/PR
brandmoth**,상품기획
brandmoth**,제안서/편집디자인
brandmoth**,제품/공간디자인
noels**,B2C영업
noels**,온라인마케팅
noels**,상품기획
noels**,마케팅전략/브랜딩
noels**,신규사업/BD
youngda**,구매
youngda**,경영전략/관리
hssohn**,PM
hssohn**,경영혁신/PI
hssohn**,인사
hssohn**,온라인마케팅
kkr87106**,경영전략/관리
kkr87106**,신규사업/BD
kkr87106**,B2C영업
kkr87106**,물류/유통
kkr87106**,경영혁신/PI
interfo**,연구개발/설계
interfo**,생산/제조
interfo**,품질/안전
interfo**,상품기획
indigoh**,홍보/PR
indigoh**,서비스기획
indigoh**,온라인마케팅
indigoh**,광고/영상디자인
indigoh**,정부지원사업
BellKim**,신규사업/BD
BellKim**,경영전략/관리
BellKim**,해외영업/무역
BellKim**,투자/IPO
BellKim**,시장조사/데이터분석
tyhwan**,해외영업/무역
tyhwan**,마케팅전략/브랜딩
tyhwan**,신규사업/BD
tyhwan**,경영전략/관리
tyhwan**,상품기획
Hasmyli**,마케팅전략/브랜딩
Hasmyli**,상품기획
Hasmyli**,홍보/PR
Hasmyli**,온라인마케팅
koreandani**,신규사업/BD
koreandani**,정부지원사업
koreandani**,해외영업/무역
koreandani**,투자/IPO
koreandani**,마케팅전략/브랜딩
ycw26**,신규사업/BD
ycw26**,경영전략/관리
ycw26**,공장신축
ycw26**,생산/제조
ycw26**,구매
dingli**,신규사업/BD
dingli**,빅데이터/AI
dingli**,해외영업/무역
dingli**,B2B영업
dingli**,인사
mul**,신규사업/BD
mul**,투자/IPO
mul**,M&A/PMI
mul**,경영전략/관리
hwangjs**,재무/회계/자금
hwangjs**,세무
hwangjs**,투자/IPO
hwangjs**,M&A/PMI
year11**,재무/회계/자금
year11**,노무
year11**,M&A/PMI
modalo**,제품/공간디자인
modalo**,Other
modalo**,구매
modalo**,상품기획
modalo**,신규사업/BD
shcjyk**,경영혁신/PI
shcjyk**,M&A/PMI
shcjyk**,생산/제조
shcjyk**,마케팅전략/브랜딩
shcjyk**,정부지원사업
jpyol**,신규사업/BD
jpyol**,시장조사/데이터분석
jpyol**,서비스기획
jpyol**,연구개발/설계
jpyol**,경영전략/관리
BizV**,해외영업/무역
BizV**,마케팅전략/브랜딩
BizV**,경영혁신/PI
BizV**,원가관리
BizV**,구매
jyki12**,마케팅전략/브랜딩
jyki12**,경영전략/관리
jyki12**,B2B영업
Sangheec**,디자인/패션
syhan10**,연구개발/설계
syhan10**,신규사업/BD
syhan10**,생산/제조
syhan10**,기술/특허
syhan10**,경영전략/관리
mywcss55**,신규사업/BD
mywcss55**,마케팅전략/브랜딩
portfi**,M&A/PMI
portfi**,투자/IPO
portfi**,신규사업/BD
portfi**,재무/회계/자금
portfi**,정부지원사업
nextpa**,PM
Kenne**,신규사업/BD
Kenne**,연구개발/설계
Kenne**,경영전략/관리
Kenne**,상품기획
Kenne**,기술/특허
David**,Other
David**,경영전략/관리
David**,마케팅전략/브랜딩
David**,연구개발/설계
cykimg**,신규사업/BD
cykimg**,경영전략/관리
cykimg**,마케팅전략/브랜딩
cykimg**,서비스기획
cykimg**,경영혁신/PI
agi**,PM
agi**,서비스기획
agi**,서버개발/앱개발
agi**,시스템엔지니어
agi**,빅데이터/AI
jinipop87**,CS
jinipop87**,물류/유통
jinipop87**,B2C영업
jinipop87**,B2B영업
k2obo**,빅데이터/AI
k2obo**,시장조사/데이터분석
k2obo**,경영전략/관리
dasol**,PM
dasol**,경영혁신/PI
akiwoo**,물류/유통
akiwoo**,원가관리
akiwoo**,PM
akiwoo**,경영혁신/PI
akiwoo**,구매
John85**,B2B영업
John85**,해외영업/무역
John85**,구매
John85**,홍보/PR
John85**,상품기획
kjmin**,신규사업/BD
kjmin**,연구개발/설계
kjmin**,생산/제조
kjmin**,경영혁신/PI
kjmin**,경영전략/관리
kchangk**,빅데이터/AI
kchangk**,신규사업/BD
kchangk**,연구개발/설계
kchangk**,PM
kchangk**,시장조사/데이터분석
pxgef**,연구개발/설계
pxgef**,품질/안전
bizexpert01**,해외영업/무역
bizexpert01**,구매
bizexpert01**,물류/유통
bizexpert01**,신규사업/BD
bizexpert01**,B2B영업
chan24**,신규사업/BD
chan24**,제품/공간디자인
chan24**,영업/구매/유통
hsju**,투자/IPO
hsju**,재무/회계/자금
hsju**,해외영업/무역
hsju**,Other
whdwls20**,마케팅전략/브랜딩
whdwls20**,B2B영업
whdwls20**,투자/IPO
brjeon**,경영혁신/PI
brjeon**,신규사업/BD
brjeon**,마케팅전략/브랜딩
brjeon**,해외영업/무역
brjeon**,물류/유통
cashseek**,마케팅전략/브랜딩
cashseek**,정부지원사업
cashseek**,서비스기획
cashseek**,신규사업/BD
cashseek**,홍보/PR
srkim53**,기술/특허
ferro12**,일반법무
ferro12**,기술/특허
visionpa**,품질/안전
visionpa**,교육
visionpa**,시스템엔지니어
visionpa**,일반법무
visionpa**,홍보/PR
badaso**,신규사업/BD
selav**,온라인마케팅
selav**,홍보/PR
selav**,마케팅전략/브랜딩
selav**,상품기획
jhd06**,신규사업/BD
jhd06**,M&A/PMI
jhd06**,경영전략/관리
jhd06**,경영혁신/PI
youngr**,서버개발/앱개발
youngr**,GUI(UI/UX)
youngr**,서비스기획
youngr**,PM
youngr**,시스템엔지니어
khm68**,신규사업/BD
Michael20**,해외영업/무역
Michael20**,B2C영업
jinlee240**,생산/제조
jinlee240**,구매
jinlee240**,원가관리
jinlee240**,품질/안전
jinlee240**,경영전략/관리
seokho**,연구개발/설계
seokho**,신규사업/BD
seokho**,투자/IPO
seokho**,품질/안전
seokho**,B2B영업
seanl**,B2B영업
seanl**,CS
seanl**,구매
seanl**,해외영업/무역
seanl**,물류/유통
rohk**,투자/IPO
slee12**,B2C영업
slee12**,B2B영업
hdh9**,경영전략/관리
hdh9**,경영혁신/PI
hdh9**,PM
hdh9**,서비스기획
cgkim12**,시스템엔지니어
cgkim12**,품질/안전
cgkim12**,Other
kjpark**,경영혁신/PI
kjpark**,경영전략/관리
kjpark**,원가관리
kjpark**,PM
kjpark**,서비스기획
canon89**,신규사업/BD
canon89**,B2B영업
canon89**,B2C영업
canon89**,CS
canon89**,시장조사/데이터분석
thecreati**,제안서/편집디자인
thecreati**,제품/공간디자인
onesho**,신규사업/BD
onesho**,경영혁신/PI
onesho**,B2B영업
onesho**,해외영업/무역
onesho**,구매
ksjung13**,인사
ksjung13**,교육
ksjung13**,노무
bskim19**,구매
bskim19**,생산/제조
bskim19**,품질/안전
bskim19**,연구개발/설계
bskim19**,공장신축
kchs**,홍보/PR
bkc0**,연구개발/설계
bkc0**,PM
bkc0**,시스템엔지니어
blacky**,서비스기획
blacky**,PM
blacky**,시스템엔지니어
blacky**,상품기획
blacky**,시장조사/데이터분석
goodmanji03**,상품기획
goodmanji03**,신규사업/BD
goodmanji03**,CS
goodmanji03**,정부지원사업
goodmanji03**,원가관리
RoyBSPar**,신규사업/BD
RoyBSPar**,B2B영업
RoyBSPar**,해외영업/무역
RoyBSPar**,물류/유통
RoyBSPar**,온라인마케팅
DWChoi**,재무/회계/자금
DWChoi**,인사
kmk09**,경영전략/관리
kmk09**,마케팅전략/브랜딩
kmk09**,온라인마케팅
kmk09**,홍보/PR
kmk09**,신규사업/BD
irob**,재무/회계/자금
irob**,경영전략/관리
irob**,경영혁신/PI
irob**,경영전략/관리
irob**,경영혁신/PI
irob**,재무/회계/자금
irob**,원가관리
irob**,M&A/PMI
irob**,신규사업/BD
hsp39**,온라인마케팅
hsp39**,신규사업/BD
hsp39**,마케팅전략/브랜딩
hsp39**,홍보/PR
heechan912**,재무/회계/자금
heechan912**,경영전략/관리
heechan912**,인사
wangcho0**,물류/유통
kbs**,경영혁신/PI
kbs**,CS
kbs**,품질/안전
kbs**,정부지원사업
discovelee72**,신규사업/BD
discovelee72**,PM
discovelee72**,빅데이터/AI
discovelee72**,연구개발/설계
discovelee72**,서비스기획
ddoonn**,노무
ddoonn**,인사
ddoonn**,총무
freejun**,경영전략/관리
freejun**,구매
freejun**,CS
yssuh70**,B2B영업
stone**,신규사업/BD
stone**,연구개발/설계
stone**,B2B영업
stone**,해외영업/무역
stone**,경영전략/관리
osw**,경영전략/관리
highba**,생산/제조
highba**,총무
highba**,신규사업/BD
highba**,공장신축
highba**,시스템엔지니어
Ayye**,경영혁신/PI
Ayye**,인사
Ayye**,마케팅전략/브랜딩
Ayye**,경영전략/관리
Ayye**,B2B영업
imken11**,마케팅전략/브랜딩
paulkan**,신규사업/BD
paulkan**,연구개발/설계
paulkan**,생산/제조
paulkan**,품질/안전
paulkan**,B2B영업
rusher0**,디자인/패션
birskrw**,신규사업/BD
birskrw**,경영전략/관리
birskrw**,M&A/PMI
birskrw**,원가관리
birskrw**,투자/IPO
kyung**,경영혁신/PI
kyung**,경영전략/관리
kyung**,투자/IPO
kyung**,신규사업/BD
kyung**,Other
bmk11**,연구개발/설계
pz4**,재무/투자
pz4**,인사
pz4**,M&A/PMI
phj10**,인사/총무
phj10**,경영전략/신사업
phj10**,법무/대정부
kimsam0**,경영전략/관리
kimsam0**,경영혁신/PI
kimsam0**,공장신축
kimsam0**,생산/제조
kimsam0**,품질/안전
Chp5**,홍보/PR
Chp5**,정부지원사업
Chp5**,마케팅전략/브랜딩
macgri**,신규사업/BD
macgri**,경영전략/관리
macgri**,B2C영업
macgri**,온라인마케팅
macgri**,시장조사/데이터분석
sb89**,B2C영업
sb89**,CS
sb89**,구매
sb89**,마케팅전략/브랜딩
sb89**,시장조사/데이터분석
suoklee**,B2B영업
suoklee**,해외영업/무역
Herm**,신규사업/BD
Herm**,온라인마케팅
Herm**,경영전략/관리
Herm**,마케팅전략/브랜딩
seohoyo**,연구개발/설계
seohoyo**,Other
manchu**,신규사업/BD
manchu**,생산/제조
manchu**,품질/안전
manchu**,경영전략/관리
manchu**,경영혁신/PI
jechoi**,교육
jechoi**,총무
jechoi**,인사
jechoi**,정부지원사업
sooeonyo**,물류/유통
sooeonyo**,상품기획
sooeonyo**,마케팅전략/브랜딩
sooeonyo**,B2C영업
sooeonyo**,온라인마케팅
hcwook3228**,경영전략/관리
hcwook3228**,디자인/패션
sscc**,해외영업/무역
sscc**,경영전략/관리
sscc**,B2B영업
cnest**,경영전략/관리
cnest**,재무/회계/자금
cnest**,경영혁신/PI
cnest**,시장조사/데이터분석
cnest**,교육
imso**,연구개발/설계
ysjee**,경영전략/관리
ysjee**,PM
ysjee**,인사
ysjee**,원가관리
ysjee**,투자/IPO
see53**,품질/안전
see53**,제품/공간디자인
see53**,공장신축
see53**,연구개발/설계
hmby**,광고/영상디자인
hmby**,제품/공간디자인
hmby**,제안서/편집디자인
hmby**,마케팅전략/브랜딩
hmby**,서비스기획
run2w**,서비스기획
run2w**,PM
run2w**,신규사업/BD
run2w**,경영전략/관리
run2w**,경영혁신/PI
ignitor75**,마케팅전략/브랜딩
ignitor75**,온라인마케팅
ignitor75**,홍보/PR
ignitor75**,상품기획
ignitor75**,시장조사/데이터분석
minzak**,마케팅전략/브랜딩
minzak**,상품기획
minzak**,해외영업/무역
minzak**,B2C영업
minzak**,온라인마케팅
cosett**,마케팅전략/브랜딩
cosett**,온라인마케팅
cosett**,B2C영업
cosett**,경영전략/관리
nongrimb**,M&A/PMI
nongrimb**,신규사업/BD
nongrimb**,정부지원사업
nongrimb**,투자/IPO
nongrimb**,일반법무
david1**,경영혁신/PI
david1**,신규사업/BD
david1**,해외영업/무역
say3**,마케팅전략/브랜딩
say3**,홍보/PR
say3**,시장조사/데이터분석
say3**,상품기획
kbn**,구매
kbn**,B2B영업
kbn**,시장조사/데이터분석
tccmaster**,경영혁신/PI
tccmaster**,생산/제조
tccmaster**,품질/안전
tccmaster**,경영전략/관리
tccmaster**,Other
jimmych**,해외영업/무역
jimmych**,B2B영업
jimmych**,물류/유통
jimmych**,CS
jimmych**,신규사업/BD
subic**,마케팅전략/브랜딩
subic**,온라인마케팅
subic**,홍보/PR
subic**,경영전략/관리
subic**,신규사업/BD
heosy**,연구개발/설계
heosy**,품질/안전
heosy**,공장신축
heosy**,생산/제조
heosy**,경영전략/관리
hjlee78**,연구개발/설계
hjlee78**,Other
simson20**,정부지원사업
jhjuhn**,Other
kimdoh**,경영전략/관리
kimdoh**,시장조사/데이터분석
hope79**,연구개발/설계
hope79**,생산/제조
hope79**,품질/안전
hope79**,제품/공간디자인
hyunpyo4**,생산/제조
hyunpyo4**,품질/안전
hyunpyo4**,Other
hyunpyo4**,정부지원사업
hyunpyo4**,구매
kwgl**,연구개발/설계
kth83**,경영전략/관리
kth83**,마케팅전략/브랜딩
luxe**,신규사업/BD
luxe**,해외영업/무역
luxe**,물류/유통
luxe**,상품기획
luxe**,시장조사/데이터분석
Haechoonya**,경영전략/관리
Haechoonya**,경영혁신/PI
Haechoonya**,B2C영업
Haechoonya**,B2B영업
smhwan**,연구개발/설계
smhwan**,Other
kmya**,물류/유통
kmya**,신규사업/BD
pckook**,신규사업/BD
pckook**,B2C영업
pckook**,물류/유통
pckook**,상품기획
pckook**,Other
bridge79**,경영전략/관리
bridge79**,B2B영업
bridge79**,구매
bridge79**,해외영업/무역
bridge79**,생산/제조
MKM0703**,B2B영업
MKM0703**,물류/유통
ykyu90**,물류/유통
ykyu90**,해외영업/무역
ykyu90**,품질/안전
ykyu90**,경영혁신/PI
98dong**,신규사업/BD
98dong**,연구개발/설계
discovery**,마케팅전략/브랜딩
discovery**,제안서/편집디자인
discovery**,광고/영상디자인
discovery**,온라인마케팅
discovery**,홍보/PR
againzero14**,서비스기획
againzero14**,신규사업/BD
againzero14**,PM
againzero14**,온라인마케팅
againzero14**,상품기획
suh020**,경영전략/관리
suh020**,신규사업/BD
suh020**,경영혁신/PI
suh020**,연구개발/설계
suh020**,인사
hjyo**,마케팅전략/브랜딩
hjyo**,온라인마케팅
hjyo**,서비스기획
hjyo**,GUI(UI/UX)
hjyo**,B2B영업
yongmuni**,마케팅전략/브랜딩
npskoj**,공장신축
npskoj**,생산/제조
ataji**,Other
changon**,경영혁신/PI
changon**,연구개발/설계
changon**,시스템엔지니어
changon**,서버개발/앱개발
changon**,GUI(UI/UX)
bcbjk**,해외영업/무역
bcbjk**,신규사업/BD
bcbjk**,경영전략/관리
bizign**,신규사업/BD
bizign**,경영전략/관리
bizign**,M&A/PMI
bizign**,시장조사/데이터분석
bizign**,마케팅전략/브랜딩
dawnnch**,생산/제조
dawnnch**,연구개발/설계
dawnnch**,공장신축
dhrhee06**,경영전략/관리
dhrhee06**,마케팅전략/브랜딩
dhrhee06**,해외영업/무역
Hogan1**,신규사업/BD
Hogan1**,B2B영업
Hogan1**,해외영업/무역
Hogan1**,투자/IPO
Hogan1**,세무
cboh10**,PM
cboh10**,품질/안전
cboh10**,신규사업/BD
cboh10**,해외영업/무역
cboh10**,Other
slpark62**,신규사업/BD
slpark62**,경영전략/관리
slpark62**,마케팅전략/브랜딩
slpark62**,B2B영업
slpark62**,연구개발/설계
kohlin16**,교육
kohlin16**,제품/공간디자인
yhspark**,생산/제조
yhspark**,품질/안전
yhspark**,연구개발/설계
yhspark**,경영혁신/PI
yhspark**,상품기획
itybit**,연구개발/설계
itybit**,시장조사/데이터분석
itybit**,상품기획
itybit**,마케팅전략/브랜딩
itybit**,Other
lij88**,경영전략/관리
lij88**,Other
lij88**,해외영업/무역
lij88**,투자/IPO
hwa40**,인사
hwa40**,경영혁신/PI
hwa40**,경영전략/관리
hwa40**,교육
tx778**,연구개발/설계
jinkongmyu**,PM
jinkongmyu**,경영혁신/PI
jinkongmyu**,경영전략/관리
jinkongmyu**,인사
sty27**,B2B영업
sty27**,B2C영업
sty27**,물류/유통
goform**,교육
goform**,인사
wnsk**,해외영업/무역
wnsk**,온라인마케팅
wnsk**,B2B영업
wnsk**,홍보/PR
wnsk**,B2C영업
up2mi**,생산/제조
up2mi**,연구개발/설계
up2mi**,품질/안전
up2mi**,공장신축
up2mi**,Other
seahsolar20**,해외영업/무역
seahsolar20**,마케팅전략/브랜딩
seahsolar20**,신규사업/BD
seahsolar20**,B2B영업
seahsolar20**,구매
comreal5**,투자/IPO
gbo11**,신규사업/BD
gbo11**,해외영업/무역
gbo11**,기술/특허
gbo11**,투자/IPO
gbo11**,일반법무
kiddoo**,PM
kiddoo**,연구개발/설계
kiddoo**,품질/안전
junho90**,경영전략/관리
junho90**,신규사업/BD
junho90**,M&A/PMI
junho90**,상품기획
junho90**,연구개발/설계
jjsajm33**,신규사업/BD
jjsajm33**,경영전략/관리
jjsajm33**,경영혁신/PI
jjsajm33**,재무/회계/자금
jjsajm33**,원가관리
stephenm**,신규사업/BD
stephenm**,홍보/PR
stephenm**,B2B영업
stephenm**,원가관리
chpark1**,해외영업/무역
chpark1**,B2B영업
chpark1**,마케팅전략/브랜딩
chpark1**,신규사업/BD
chpark1**,경영전략/관리
lama**,신규사업/BD
lama**,마케팅전략/브랜딩
lama**,온라인마케팅
lama**,홍보/PR
lama**,상품기획
lifema**,신규사업/BD
lifema**,시장조사/데이터분석
lifema**,온라인마케팅
lifema**,마케팅전략/브랜딩
lifema**,제안서/편집디자인
woo12**,교육
woo12**,총무
yhtalent20**,경영전략/관리
yhtalent20**,경영혁신/PI
yhtalent20**,재무/회계/자금
yhtalent20**,원가관리
yhtalent20**,인사
lasthrg**,인사
lasthrg**,교육
lasthrg**,경영전략/신사업
kkk741**,B2C영업
kkk741**,물류/유통
pki0**,인사
pki0**,노무
pki0**,교육
pki0**,총무
kimzero**,마케팅전략/브랜딩
kimzero**,신규사업/BD
kimzero**,시장조사/데이터분석
kimzero**,홍보/PR
kimzero**,경영전략/관리
hrpat**,기술/특허
hrpat**,정부지원사업
millate**,경영전략/신사업
juk07**,서비스기획
juk07**,서버개발/앱개발
juk07**,PM
juk07**,마케팅전략/브랜딩
juk07**,온라인마케팅
tkyo**,재무/회계/자금
tkyo**,원가관리
tkyo**,세무
tkyo**,경영전략/관리
tkyo**,경영혁신/PI
peter33**,Other
stlee103**,품질/안전
yamin**,마케팅전략/브랜딩
yamin**,온라인마케팅
yamin**,B2C영업
yamin**,정부지원사업
yamin**,물류/유통
chlco1**,B2B영업
Jangconsu**,재무/회계/자금
Jangconsu**,원가관리
Jangconsu**,구매
Jangconsu**,경영전략/관리
Jangconsu**,경영혁신/PI
grovesbo**,연구개발/설계
grovesbo**,생산/제조
grovesbo**,품질/안전
grovesbo**,공장신축
grovesbo**,제품/공간디자인
sjte**,연구개발/설계
jkchan**,연구개발/설계
jkchan**,생산/제조
jkchan**,경영전략/관리
jkchan**,상품기획
jkchan**,품질/안전
parkyk29**,영업/구매/유통
parkyk29**,교육
parkyk29**,마케팅전략/브랜딩
parkyk29**,Other
broomsti**,경영전략/관리
broomsti**,해외영업/무역
broomsti**,PM
broomsti**,정부지원사업
broomsti**,물류/유통
ROID**,연구개발/설계
ROID**,생산/제조
elia12**,재무/회계/자금
elia12**,세무
elia12**,총무
elia12**,시장조사/데이터분석
forum1**,영업/구매/유통
forum1**,마케팅전략/브랜딩
forum1**,온라인마케팅
forum1**,시스템엔지니어
forum1**,경영전략/관리
drcha**,연구개발/설계
drcha**,품질/안전
drcha**,정부지원사업
yoonso**,서버개발/앱개발
zaiyin**,해외영업/무역
zaiyin**,경영전략/관리
zaiyin**,B2C영업
zaiyin**,마케팅전략/브랜딩
zaiyin**,신규사업/BD
seniorma**,신규사업/BD
bluebill**,재무/투자
bluebill**,PM
bluebill**,정부지원사업
bluebill**,경영전략/관리
bluebill**,시장조사/데이터분석
primewri**,기술/특허
primewri**,경영전략/관리
primewri**,정부지원사업
primewri**,교육
primewri**,서비스기획
dykim09**,M&A/PMI
dykim09**,경영전략/관리
dykim09**,경영혁신/PI
dykim09**,신규사업/BD
dykim09**,품질/안전
cjyvi**,신규사업/BD
cjyvi**,해외영업/무역
cjyvi**,시장조사/데이터분석
cjyvi**,서버개발/앱개발
cjyvi**,정부지원사업
kojumoi**,신규사업/BD
kojumoi**,경영전략/관리
kojumoi**,상품기획
kojumoi**,시장조사/데이터분석
bikegu**,신규사업/BD
bikegu**,투자/IPO
bikegu**,연구개발/설계
higlob**,해외영업/무역
higlob**,구매
higlob**,B2B영업
higlob**,물류/유통
kyahn20**,경영혁신/PI
kyahn20**,생산/제조
kyahn20**,품질/안전
kyahn20**,B2C영업
kyahn20**,물류/유통
brianhjlee**,해외영업/무역
apple**,연구개발/설계
apple**,품질/안전
apple**,시장조사/데이터분석
tommycho**,경영전략/신사업
tommycho**,B2B영업
tommycho**,B2C영업
tommycho**,해외영업/무역
tommycho**,시장조사/데이터분석
sukhb3**,재무/회계/자금
sukhb3**,품질/안전
sukhb3**,연구개발/설계
sukhb3**,정부지원사업
sukhb3**,공장신축
shchung10**,마케팅
shchung10**,경영전략/신사업
james0**,경영전략/신사업
james0**,마케팅
chpae09**,경영혁신/PI
chpae09**,인사
chpae09**,교육
chpae09**,경영전략/관리
chpae09**,시장조사/데이터분석
ccbk**,인사/총무
