company,career,education,region,reg,deadline,type,title,job,tag
주식회사애니우드,경력무관,고졸 이상,강원 원주시,2022-05-28,2022-06-14,정규직,"경리, 회계 업무(정규직) 모집","
, 경리사무원, 관리회계, 출납, 회계,  ",회계·세무·재무
(주)신화엔지니어링,신입 · 경력,대학교(4년) 이상,경기 고양시 덕양구,2022-05-28,2022-06-26,정규직,[경영기획팀] 업무지원(자금/정산/ 경리) 정규직 모집 공고,"
, 경리, 법인결산, 회계결산, 외주관리, 회계,  외            ",회계·세무·재무
유원커리어센터,경력 2년↑,"대학(2,3년) 이상",서울 강남구,2022-05-28,2022-06-17,정규직,[유명자산운용사]재무회계(대리급),"
, 전산회계, 관리회계, 기업회계, 세무회계, 재무제표,  외            ",회계·세무·재무
유원커리어센터,경력 1년↑,"대학(2,3년) 이상",서울 용산구,2022-05-25,채용시,파견직,[외국계]회계/비용처리,"
, 경리, 전산회계, 더존, 관리회계, 재무회계,  외            ",회계·세무·재무
유원커리어센터,경력 1년↑,"대학(2,3년) 이상",서울 용산구,2022-05-24,채용시,파견직,[외국계기업]재무팀/비용처리,"
, 경리, 전산회계, 더존, 관리회계, 재무회계,  외            ",회계·세무·재무
신가승ENG,1 ~ 5년,"대학(2,3년) 이상",광주 서구,2022-05-28,2022-06-26,정규직,경영지원부 회계·세무·재무 경력 채용,"
, 경리사무원, 회계, 재무,  ",회계·세무·재무
㈜다날,경력 3년↑,대학교(4년) 이상,경기 성남시 분당구,2022-05-28,2022-06-26,정규직,다날 경영관리 부문 경력사원 채용,"
, 재무기획, 재무회계, 경영기획, 회계, 재무,  외            ",회계·세무·재무
에이원엘리베이터(주),경력 2년↑,"대학(2,3년) 이상",서울 송파구,2022-05-28,채용시,정규직,[A1엘리베이터/정규직] 재무회계 팀원 채용(사세확장),"
, 전산회계, 관리회계, 기업회계, 재무회계, 회계결산,  외            ",회계·세무·재무
삼강엠앤티(주),4 ~ 15년,학력무관,경남 고성군,2022-05-28,2022-06-12,정규직,인사팀 경력사원 모집 (대리~차장급),"
, 연말정산, 법정의무교육, 복리후생, 인사교육, 인사기획,  외            ",회계·세무·재무
(주)대송가구,경력무관,고졸 이상,대구 북구,2022-05-28,2022-06-26,정규직,백화점내 가구회사 사무직 정직원 채용 [대구/북구],"
, 경리사무원, 사무직, 사무보조, 사무행정,  ",회계·세무·재무
(주)트라에,1 ~ 3년,학력무관,서울 서대문구,2022-05-28,2022-06-26,정규직,[트라에] 회계/자금/인사총무/경영지원 경력자 채용,"
, 총무, 경영지원, 회계, 재무, 경영관리,  외            ",회계·세무·재무
(주)에임드바이오,신입 · 경력,대학교(4년) 이상,서울 송파구,2022-05-28,2022-06-17,정규직,연구소 재무/회계/일반관리 채용 공고 (신입&경력),"
, 총무, 회계, 재무, 경영지원, 경리,  ",회계·세무·재무
어메이징파크(주),경력무관,학력무관,경남 창원시,2022-05-28,2022-06-26,정규직,어메이징파크(주) 함께할 직원 모집합니다.,"
, 경리, 상담원, 인사, 경리사무원, CS,  ",회계·세무·재무
나무기술(주),10 ~ 16년,대학교(4년) 이상,서울 강남구,2022-05-28,2022-06-14,정규직,경영관리본부 인사팀장 채용,"
, 연말정산, ER(노무관리), 급여(Payroll), 면접/인터뷰, 복리후생,  외            ",회계·세무·재무
(주)해성판넬,경력무관,고졸 이상,광주 광산구,2022-05-28,2022-06-12,정규직,해성판넬 경리 사무보조 직원 채용,"
, 경리, 사무직, 사무보조, 자료입력, 전화응대,  ",회계·세무·재무
(주)위즈덤하우스,3 ~ 7년,"대학(2,3년) 이상",서울 마포구,2022-05-28,채용시,정규직,㈜위즈덤하우스 재무관리팀 (결산 및 자금 지원) 담당자,"
, 법인결산, 외부감사, 외환관리, 재무기획, 재무제표,  외            ",회계·세무·재무
정현종합주류(주),경력무관,고졸 이상,인천 서구,2022-05-28,2022-06-26,정규직,정현주류에서 사무직원을 모집합니다(청라원창동출근가능자),"
, 경리, 사무직, 사무보조,  ",회계·세무·재무
(주)오가나셀,경력 2년↑,학력무관,서울 성동구,2022-05-28,2022-06-24,정규직,[오가나셀] 경영지원팀(회계/인사) 경력자 채용,"
, 전산회계, 더존, 기업회계, 세무기장, 세무신고,  외            ",회계·세무·재무
케이홀딩스(주),경력 2년↑,고졸 이상,경기 안양시 만안구,2022-05-28,2022-06-26,정규직,"재무,회계,세무 사무직 모집","
, 경리, 기업회계, 법인결산, 세무신고, 전산회계,  외            ",회계·세무·재무
(주)크레비스파트너스,신입 · 경력,학력무관,서울 성동구,2022-05-28,2022-06-12,정규직,[신시어리] 재무회계팀 회계담당자 신입/경력 채용,"
, 경리, 세무사, 급여(Payroll), 부가세신고, 재무회계,  외            ",회계·세무·재무
(주)뉴로웰니스,경력 2년↑,학력무관,서울 구로구,2022-05-28,2022-06-26,정규직,2022년도 (주)뉴로웰니스 경리부 모집,"
, 경리, 전산회계, 더존, 4대보험, 계산서발행,  외            ",회계·세무·재무
(주)레메디,신입 · 경력,"대학(2,3년) 이상",서울 영등포구,2022-05-28,2022-06-26,정규직,재무회계팀 정규직 채용 (K-IFRS 과장 차장급),"
, 기업회계, 외부감사, 자금관리, 회계결산, 회계,  외            ",회계·세무·재무
(주)다자요,경력 3년↑,"대학(2,3년) 이상",제주 제주시,2022-05-28,채용시,정규직,[회계] 회계·세무·재무 경력 모집,"
, 감사, 더존, 법인결산, 회계, 재무,  ",회계·세무·재무
(주)925컴퍼니,경력무관,학력무관,서울 강남구,2022-05-17,2022-06-15,정규직,총무·법무·사무 외 1개 부문 담당자 채용,"
, 경리, 경리사무원, 사무직, 법무,  ",회계·세무·재무
(주)조아,경력 2년↑,학력무관,서울 마포구,2022-05-28,2022-06-26,정규직,복지용구 1위기업 (주)조아 온라인쇼핑물 MD 경력직 채용,"
, 전표입력, 사무직, 문서작성, 사무보조, 전화응대,  외            ",회계·세무·재무
마운드미디어(주),신입 · 경력,학력무관,서울 강남구,2022-05-28,2022-06-15,정규직 · 계약직,"2022 마운드미디어(주) 회계/재무, 인사/총무 담당자 채용","
, 총무, 회계, 인사, 재무, 자산관리,  외            ",회계·세무·재무
에스디관세법인,경력무관,고졸 이상,서울 금천구,2022-05-28,2022-06-26,정규직,[에스디 관세법인] 수출입 신고업무 경력직 사무원 채용,"
, 세관, 통관, 관세법인, 수출입,  ",회계·세무·재무
(주)스페이스솔루션,경력 5년↑,대학교(4년) 이상,대전 유성구,2022-05-18,2022-06-30,정규직,재무팀  정규직 채용 (원가관리),"
, 관리회계, 손익관리, 원가관리, 재무회계, 회계,  외            ",회계·세무·재무
에피치오,경력무관,학력무관,서울 금천구,2022-05-28,2022-06-26,정규직,"[경영관리] 인사, 세무, 경리 신입/경력 모집","
, 4대보험, 급여(Payroll), 부가세신고, 경영지원, 인사,  외            ",회계·세무·재무
