company,career,education,region,reg,deadline,type,title,job,tag
다감티앤알(주),경력무관,"대학(2,3년) 이상",서울 강남구,2022-05-12,채용시,정규직,[ 대기업 총판 ] 온라인 사업부 정규직 채용,"
, 사이트관리, 매출관리, 기획MD, 온라인MD, 상품관리,  외            ",상품기획·MD
다감티앤알(주),신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022-05-12,채용시,정규직,[온라인사업부] MD 정규직 채용,"
, 사이트관리, 매출관리, 기획MD, 온라인MD, 상품관리,  외            ",상품기획·MD
(주)네츄럴샤인,경력 1년↑,고졸 이상,경기 부천시,2022-06-09,2022-07-09,정규직,천연화장품 쇼핑몰 홈페이지 관리자 채용,"
, 상품관리, 쇼핑몰, 홈페이지관리,  ",상품기획·MD
(주)카카오브이엑스,경력 5년↑,학력무관,경기 성남시 분당구,2022-05-25,2022-06-25,정규직,카카오VX SV팀 프랜차이즈 슈퍼바이저 채용,"
, 가맹점관리, 슈퍼바이저,  ",상품기획·MD
리디(주),경력무관,학력무관,서울 강남구,2022-04-16,2022-06-14,정규직,"웹소설 MD 채용 (로맨스 제휴 MD, 로맨스/로맨스판타지 MD 등)","
, 기획MD, 영업MD, 오프라인MD, 온라인MD, AMD,  ",상품기획·MD
리디(주),경력 3년↑,학력무관,서울 강남구,2022-06-08,2022-06-26,정규직,[리디 주식회사] 웹툰 MD 경력직 모집,"
, 기획MD, 리테일MD, 만화/웹툰, 제휴마케팅, 콘텐츠마케팅,  외            ",상품기획·MD
오가닉k,경력무관,학력무관,대구 북구,2022-06-09,2022-07-09,정규직,고객서비스담당자(CS) [고객응대/주문관리],"
, 영업지원, 쇼핑몰관리, 상품관리, 쇼핑몰, CS관리,  외            ",상품기획·MD
(주)스마트나우,경력 1년↑,학력무관,전북 전주시 완산구,2022-06-09,채용시,정규직,애견 용품 쇼핑몰운영자/쇼핑몰MD 모집(전주),"
, 사이트관리, 쇼핑몰관리, 기획MD, 온라인MD, 쇼핑몰,  외            ",상품기획·MD
(주)더에스그룹,경력무관,학력무관,서울 송파구,2022-06-08,2022-08-07,정규직,온라인 MD 경력무관 모집합니다 - 정규직,"
, 온라인MD, 오픈마켓,  ",상품기획·MD
원스탭에이치알(주),경력무관,학력무관,서울 강남구,2022-06-08,2022-07-08,파견직,[강남/선릉역] 온라인 명품 쇼핑몰 CS 채용 인원모집,"
, 사무직, 쇼핑몰, 오픈마켓, CS관리, CS,  ",상품기획·MD
컴스토리,경력무관,학력무관,경기 부천시,2022-06-03,2022-07-03,정규직,오픈마켓 상품등록 및 상세페이지관리 (포토샵일러스트 가능자),"
, 영업마케팅, AMD, 상품관리, 소셜커머스, 쇼핑몰,  외            ",상품기획·MD
