company,career,education,region,reg,deadline,type,title,job,tag
유한책임회사하이모대구지점,경력 3년↑,"대학(2,3년) 이상",대구 중구,2022-06-09,2022-06-30,정규직,하이모 국내사업부 4팀 마케터 채용,"
, 영업마케팅, 영업전략, 전략기획, 마케팅, 매출관리,  ",마케팅·홍보·조사
야우린,경력무관,"대학(2,3년) 이상",서울 강남구,2022-06-09,채용시,정규직,YAWOOLIN 야우린 체험단 및 인플루언서 마케터 모집 (사세확장),"
, 브랜딩, SNS, 인플루언서, 병원마케팅, 마케팅기획,  외            ",마케팅·홍보·조사
주식회사 티앤씨팀즈코리아,경력무관,"대학(2,3년) 이상",서울 강남구,2022-06-09,2022-07-08,정규직,[티앤씨팀즈코리아 마케팅부] 야간 커뮤니티관리 경력/신입 채용,"
, 마케팅,  ",마케팅·홍보·조사
(주)여기어때컴퍼니,5 ~ 10년,학력무관,서울 강남구,2022-06-04,2022-08-02,정규직,퍼포먼스 마케터,"
, 마케팅기획, 광고마케팅, 디지털마케팅, 모바일마케팅, 퍼포먼스마케팅,  외            ",마케팅·홍보·조사
주식회사 티앤씨팀즈코리아,경력무관,"대학(2,3년) 이상",서울 강남구,2022-06-09,2022-07-08,정규직,[티앤씨팀즈코리아 마케팅부] 커뮤니티관리 경력/신입 채용,"
, 마케팅,  ",마케팅·홍보·조사
(주)상상진화,경력무관,"대학(2,3년) 이상",서울 서초구,2022-04-23,채용시,정규직,마케팅·홍보·조사&마케팅·브랜딩 정규직 채용 공고(경력무관),"
, 브랜드마케팅, 마케팅, 기획,  ",마케팅·홍보·조사
(주)플릭,경력무관,고졸 이상,부산 남구,2022-06-09,2022-07-08,정규직,[부산] 온라인광고대행사 검색광고 AE 경력직 모집,"
, 광고영업, 온라인영업, 광고마케팅, 디지털마케팅, 온라인마케팅,  외            ",마케팅·홍보·조사
주식회사 더에이치앤코,경력 2년↑,"대학(2,3년) 이상",서울 용산구,2022-06-08,2022-07-07,정규직,"주)더에이치앤코 신규사상품기획·MD, 디자인 외 정규직 모집 공","
, 온라인판매, 온라인MD, 오픈마켓, 판매전략, SNS,  외            ",마케팅·홍보·조사
주식회사 티앤씨팀즈코리아,경력무관,학력무관,서울 강남구,2022-06-09,2022-07-08,정규직,[티앤씨팀즈코리아 마케팅부] 영어번역 경력/신입 채용합니다,"
, 통/번역, 글로벌마케팅, 마케팅,  ",마케팅·홍보·조사
주식회사 메타미디어랩스,경력무관,학력무관,대전 유성구,2022-05-30,2022-06-29,정규직 · 계약직,"[시급11,000+인센]유성온천역/월250이상/초보가능/꿀업무","
, 광고영업, 광고마케팅, 텔레마케터,  ",마케팅·홍보·조사
㈜인컴이즈,3 ~ 10년,"대학(2,3년) 이상",서울 영등포구,2022-05-26,2022-06-24,정규직,광고대행사 사무업무 사원 모집,"
, AE(광고기획자), 매체관리, 광고디자인, 옥외광고, 광고기획,  외            ",마케팅·홍보·조사
(주)코팬글로벌,경력 2년↑,"대학(2,3년) 이상",서울 강남구,2022-06-09,2022-07-08,정규직,사인회 및 이벤트 현장 운영 경력자 채용,"
, 행사기획, 행사기획,  ",마케팅·홍보·조사
(주)라스커머스,신입 · 경력,학력무관,서울 강남구,2022-06-08,2022-07-06,정규직,온라인 MD(영업) 신입 및 경력직 채용,"
, 영업관리, 영업직, 영업MD, 광고영업, 영업마케팅,  외            ",마케팅·홍보·조사
(주)와이디커뮤니케이션,경력무관,학력무관,서울 강남구,2022-06-09,2022-07-08,정규직,광고기획 AE 신입/경력 모집합니다,"
, AE(광고기획자), 광고기획, 기획,  ",마케팅·홍보·조사
앙쥬(주),경력무관,학력무관,부산 기장군,2022-04-24,2022-06-22,정규직,온라인 마케팅 담당자 모집  (SNS 홍보 및 이커머스관리),"
, 마케팅기획, 온라인마케팅, 시각디자인, 마케팅, 홍보,  외            ",마케팅·홍보·조사
(주)에이치엠,경력 1년↑,"대학(2,3년) 이상",서울 마포구,2022-06-07,2022-07-08,정규직,병원 블로그 포스팅  / 콘텐츠 제작 담당 구인( 최고대우),"
, 안과, 피부과, 일반병원, 척추병원, 치과병원,  외            ",마케팅·홍보·조사
(주)리드넘버,경력 2년↑,고졸 이상,서울 관악구,2022-06-04,채용시,정규직 · 계약직,[경력 2년 이상] Sales 채용,"
, 세무컨설팅, 세무회계, 세무사사무실, 기술영업, 영업관리,  외            ",마케팅·홍보·조사
(주)스타킨들에듀케이션,신입 · 경력,"대학(2,3년) 이상",서울 강서구,2022-06-09,2022-06-30,정규직,[맛집영어] 2022년 하반기 디지털 마케터 신입/경력 채용,"
, 마케팅기획, 마케팅전략, 블로그마케팅, 인플루언서마케팅, SNS마케팅,  외            ",마케팅·홍보·조사
(주)리드넘버,경력 8년↑,고졸 이상,서울 관악구,2022-06-04,채용시,정규직 · 계약직,[경력 8년 이상] Sales 채용,"
, 세무컨설팅, 세무회계, 세무사사무실, 기술영업, 영업관리,  외            ",마케팅·홍보·조사
(주)지오,경력무관,학력무관,경기 군포시,2022-06-09,2022-06-30,아르바이트,"키워드광고, 키워드광고 정규직 모집 공고 - 경력무관","
, 키워드광고,  ",마케팅·홍보·조사
(주)아토세이프,경력무관,학력무관,서울 금천구,2022-06-09,2022-07-08,정규직,[아토세이프] 온라인 AMD(내일채움공제가능),"
, 영업관리, 영업마케팅, 거래처관리, 매출관리, 온라인영업,  외            ",마케팅·홍보·조사
(주)에스티커뮤니케이션즈,경력무관,"대학(2,3년) 이상",대구 달서구,2022-06-09,2022-07-08,정규직,SNS(인스타)/스마트스토어 관리 및 마케팅(키워드 분석),"
, 영업관리, 광고영업, 바이럴마케팅, 온라인마케팅, 키워드광고,  외            ",마케팅·홍보·조사
매드업,2 ~ 15년,학력무관,서울 서초구,2022-06-02,2022-06-30,정규직,[테크사업부] 퍼포먼스 마케터(AE) - 경력 채용,"
, AE(광고기획자), 미디어플래너, 광고마케팅, 미디어플래너, 온라인마케팅,  외            ",마케팅·홍보·조사
(주)아비즈,경력무관,학력무관,경기 하남시,2022-05-21,2022-07-19,정규직,"온라인 쇼핑몰 웹 기획, 마케팅, 운영 채용","
, 웹마스터, 콘텐츠기획, 디지털마케팅, 키워드광고, 서비스기획,  외            ",마케팅·홍보·조사
(주)생각더하기느낌,경력무관,학력무관,서울 강남구,2022-06-09,2022-06-15,정규직 · 계약직,[신입 경력] 바이럴 마케팅/사무직(게시글 작성 및 관리),"
, 병원마케팅, 블로그마케팅, 광고마케팅, 디지털마케팅, 모바일마케팅,  외            ",마케팅·홍보·조사
(주)생각더하기느낌,신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022-06-09,2022-06-15,정규직 · 계약직,검색광고 / 마케팅 채용,"
, 광고마케팅, 바이럴마케팅, AE(광고기획자), 검색광고, 광고주관리,  외            ",마케팅·홍보·조사
씨벤티지(주),경력 3년↑,학력무관,서울 강남구,2022-06-09,2022-07-31,정규직,디지털 마케터(B2B) 채용,"
, 콘텐츠기획, 디지털마케팅, 콘텐츠마케팅, 콘텐츠에디터, 프로덕트마케팅,  외            ",마케팅·홍보·조사
(주)생각더하기느낌,경력무관,"대학(2,3년) 이상",서울 강남구,2022-06-09,2022-06-15,정규직 · 계약직,마케팅/광고 기획자 채용,"
, 광고마케팅, 바이럴마케팅, AE(광고기획자), 시장조사, 광고기획,  외            ",마케팅·홍보·조사
미디컴,경력무관,학력무관,서울 중구,2022-06-09,2022-06-17,계약직 · 아르바이트,[서울역]홍보회사 미디컴 뉴스클리핑 PR어시스턴트 모집,"
, 기업홍보, 언론홍보, 홍보,  ",마케팅·홍보·조사
(주)글림미디어그룹,경력무관,학력무관,서울 서초구,2022-06-03,2022-07-02,정규직,[글림미디어그룹] 글로벌 K-POP 팬덤 플랫폼 운영 채용 공고,"
, 엔터테인먼트, 콘텐츠기획, 디지털마케팅, 콘텐츠마케팅, 콘텐츠에디터,  외            ",마케팅·홍보·조사
(주)비컴,신입 · 경력,대학교(4년) 이상,경남 창원시,2022-06-09,2022-08-07,정규직,(주)비컴 정규직 채용공고 - 행사기획 및 운영,"
, 행사기획, 마케팅, MICE,  ",마케팅·홍보·조사
(주)쓰리디프라임,경력무관,"대학(2,3년) 이상",울산 남구,2022-05-24,2022-06-28,정규직,사업관리팀 정규 인원 모집 공고,"
, 기술영업, 영업전략, 거래처관리, 기업영업, 매출관리,  외            ",마케팅·홍보·조사
(주)에스피에스이엔지,경력무관,학력무관,서울 송파구,2022-06-09,2022-07-08,정규직,"해외 영업 (러시아, CIS 국가) 마케팅 업무 담당자 채용","
, 무역사무원, 글로벌마케팅, 해외영업, 영업, 마케팅,  ",마케팅·홍보·조사
(주)아이리녹스,1 ~ 5년,대학교(4년) 이상,충남 천안시 동남구,2022-06-08,2022-07-07,정규직,온라인마케팅 인재모집,"
, 온라인마케팅, 웹디자인, 편집디자인, 환경디자인, 마케팅,  외            ",마케팅·홍보·조사
(주)어울림에이치알에스,경력무관,학력무관,서울 강남구,2022-06-09,2022-07-08,계약직,[대웅제약계열사] 엠서클 홍보 마케팅/관리/기획파트 직원 채용,"
, SNS, 마케팅기획, 마케팅전략, SNS마케팅, 광고마케팅,  외            ",마케팅·홍보·조사
(주)블렌딩,경력무관,학력무관,서울 서초구,2022-06-09,2022-08-07,정규직 · 계약직,글로벌 KPOP 팬덤 플랫폼 Mubeat 서비스 번역 및 CS,"
, 사이트관리, 콘텐츠관리, 통/번역, 콘텐츠기획, 콘텐츠에디터,  외            ",마케팅·홍보·조사
